time;interpolated Pixel rightCheek
25.818;203.22732288797206
25.848;203.23837801966243
25.878;203.34962019355075
25.908;203.6303803019861
25.938;203.5843618820876
25.968;203.67552158386067
25.998;203.45326115274398
26.028;203.208613569278
26.058;203.06870817083154
26.088;203.0889776590969
26.118;203.2170509415644
26.148;203.3109713487072
26.178;203.25977509999345
26.208;202.8758032346402
26.238;202.83733721077252
26.268;203.25842037149408
26.298;203.38456813456813
26.328;203.3548006048006
26.358;203.30844925581766
26.388;203.22274421031236
26.418;202.5940933951839
26.448;202.3805057762175
26.478;202.76233674929833
26.508;202.9916332207853
26.538;203.0537190910001
26.568;203.15806522717128
26.598;203.33423740512043
26.628;203.48418940284589
26.658;203.49875852117418
26.688;203.38915026942516
26.718;203.55349369260588
26.748;203.56946587818388
26.778;203.4990581937147
26.808;203.3451622400269
26.838;203.13756439792914
26.868;202.18749809760882
26.898;202.18771331058022
26.928;202.42833753710312
26.958;202.72674269737232
26.988;202.88873972825644
27.018;202.7703544602729
27.048;202.46175472880793
27.078;202.38819549426645
27.108;202.41259013837458
27.138;202.61536437457312
27.168;202.86188907880586
27.198;203.06029106029106
27.228;202.82010973362324
27.258;202.28847736625517
27.288;202.32567473678586
27.318;202.45834120737453
27.348;203.21155682834024
27.378;203.490131956397
27.408;203.14561024848055
27.438;202.57904535551594
27.468;202.59425360656036
27.498;203.36709647018506
27.528;203.2045279300891
27.558;202.78102454343238
27.588;202.34852340344594
27.618;202.35368885091177
27.648;202.40442390227798
27.678;202.78373745399418
27.708;203.2837901184412
27.738;203.12725491158994
27.768;202.49994068215523
27.798;202.6487394957983
27.828;202.6487394957983
27.858;202.93863601371118
27.888;203.14415474944775
27.918;203.2454704351686
27.948;203.11479227319344
27.978;203.1456253089471
28.008;203.28413247652003
28.038;203.3663631396831
28.068;203.35325918101037
28.098;203.40902877027278
28.128;203.4647983595352
28.158;202.70647522105787
28.188;202.57113841178443
28.218;202.5090830018755
28.248;202.45883543388612
28.278;202.47794843263466
28.308;202.51400839672445
28.338;202.64944152564286
28.368;202.47219346776853
28.398;202.2949454098942
28.428;202.2251524609844
28.458;202.10685121107267
28.488;202.0935203906965
28.518;202.22879646620717
28.548;202.34775457387818
28.578;202.46420222495846
28.608;202.55391170552727
28.638;202.5662045967474
28.668;202.5153017284544
28.698;202.4569188247311
28.728;202.46242318486776
28.758;202.9847612232394
28.788;202.93481960517357
28.818;202.80316592666347
28.848;202.70425611899657
28.878;202.59223961878828
28.908;202.44613165315226
28.938;202.3127112914131
28.968;202.1698285805194
28.998;202.52437217151788
29.028;202.80145225359365
29.058;202.77055107108802
29.088;202.75587608345847
29.118;202.88723684971376
29.148;202.6567224026625
29.178;202.61877860927774
29.208;202.57874576437658
29.238;202.62020154396595
29.268;202.76469538473387
29.298;202.84107327141382
29.328;202.78632856651433
29.358;202.9123789866824
29.388;202.748530070361
29.418;202.68142834866677
29.448;202.6784885480779
29.478;202.69059255335384
29.508;202.79597763967396
29.538;202.72753450401115
29.568;202.54425271956225
29.598;202.43418401443435
29.628;202.52843340234645
29.658;202.5298521049189
29.688;202.49857629253924
29.718;202.48398091342875
29.748;202.48361386398196
29.778;202.48204079492422
29.808;202.1888010404621
29.838;202.27403414195865
29.868;202.32787612457938
29.898;202.3470790378007
29.928;202.36980998585003
29.958;202.41905194771638
29.988;202.52983394314666
30.018;202.6203007518797
30.048;202.71076756061277
30.078;202.8240512348064
30.108;202.86880337934016
30.138;202.79596028757274
30.168;202.79201574176258
30.198;202.7328475546103
30.228;202.67367936745802
30.258;202.59927194018104
30.288;202.3478208876824
30.318;202.1878214870236
30.348;202.17445054945054
30.378;202.20535714285714
30.408;202.24115290838256
30.438;202.29552925043862
30.468;202.31873285620247
30.498;202.23680649526386
30.528;202.22665764546684
30.558;202.38658892354778
30.588;202.46016162764727
30.618;202.46158094580602
30.648;202.489197865936
30.678;202.58650546919975
30.708;202.72375359815774
30.738;202.9062523383776
30.768;203.09377892429328
30.798;203.23515377446412
30.828;203.2258252960134
30.858;202.89463321488861
30.888;202.7394526451457
30.918;202.65645326942825
30.948;202.5366097328186
30.978;202.3768640904046
31.008;202.23914491519793
31.038;202.15591469724652
31.068;202.15962824873864
31.098;202.16334180023074
31.128;202.26590853628778
31.158;202.3175615939581
31.188;202.30034195318672
31.218;202.2799183054089
31.248;202.2681754874652
31.278;202.2935098154417
31.308;202.38710511434724
31.338;202.48678274633954
31.368;202.83901719013372
31.398;202.95252315688
31.428;202.57963660670035
31.458;202.1034380965501
31.488;202.0553105074607
31.518;202.40122507447313
31.548;202.74713964148555
31.578;202.8205268559699
31.608;202.49169199064772
31.638;202.05579888808313
31.668;202.01460962049794
31.698;202.32160961815384
31.728;202.66729731194766
31.758;202.8829615891454
31.788;202.8775196446874
31.818;202.76573954783115
31.848;202.68872684632663
31.878;202.5753369852896
31.908;202.45285283436942
31.938;202.54104099767034
31.968;202.75265358921197
31.998;202.91745078234368
32.028;202.62096514208417
32.058;202.308573197225
32.088;202.03649996463182
32.118;202.12729514243273
32.148;202.2180903202336
32.178;202.3939744305897
32.208;202.58294914595427
32.238;202.77192386131884
32.268;202.61775274351754
32.298;202.52102816616753
